Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
11-Feb-25,10344.05,10344.05,10064.55,10117.75,,
12-Feb-25,10067.35,10092.5,9837.15,10036.35,,
13-Feb-25,10059.65,10130.75,9972.75,9997.25,,
14-Feb-25,10025.8,10054.45,9740.4,9852.2,,
17-Feb-25,9809.55,9937.5,9674.35,9921.1,,
18-Feb-25,9917.85,9987.75,9802.35,9972.05,,
19-Feb-25,9911.4,10060,9881.25,10045.6,,
20-Feb-25,10008.4,10195.1,9995.7,10181.4,,
21-Feb-25,10158.85,10235.8,10034.55,10074.2,,
24-Feb-25,9978.85,10026.3,9940,9963.35,,
25-Feb-25,9952.55,10008.85,9833.15,9850.6,,
27-Feb-25,9880.35,9901.3,9735.65,9808.45,,
28-Feb-25,9770.05,9774.55,9567.4,9590.6,,
03-Mar-25,9618.15,9652.15,9350.95,9513.4,,
04-Mar-25,9405.7,9600,9327.5,9576.5,,
05-Mar-25,9579.25,9823.35,9570.5,9792.6,,
06-Mar-25,9940.3,10058.9,9878.25,10045.85,,
07-Mar-25,10063.45,10164.3,10007.9,10101.5,,
10-Mar-25,10086.75,10167.2,9887.4,9909.7,,
11-Mar-25,9868.6,10038.15,9816.7,10029.6,,
12-Mar-25,10093.75,10160.1,9981.2,10065.55,,
13-Mar-25,10110.65,10135.7,10002.75,10021.8,,
17-Mar-25,10008.8,10094.9,9952.15,10016.4,,
18-Mar-25,10062.55,10101,10007.75,10084.4,,
19-Mar-25,10106.15,10221.7,10092.9,10191.65,,
20-Mar-25,10249.7,10384.5,10217.9,10353.95,,
21-Mar-25,10375.1,10638.8,10364.35,10544.2,,
24-Mar-25,10676.9,10740,10626.2,10698.25,,
25-Mar-25,10732.25,10739.55,10528.75,10555.05,,
26-Mar-25,10571.7,10646.3,10394.95,10411,,
27-Mar-25,10410.35,10597.95,10382.2,10552.85,,
28-Mar-25,10582.05,10727.6,10530.25,10549.7,,
01-Apr-25,10491.85,10646.1,10485.15,10558.15,,
02-Apr-25,10541.35,10593.35,10449.7,10584.15,,
03-Apr-25,10466.25,10589.8,10466.25,10532.15,,
04-Apr-25,10529.35,10543.25,10064.95,10134.1,,
07-Apr-25,9475.8,9918.75,9445.95,9851.5,,
08-Apr-25,9990.55,10124.5,9862.45,10068.35,,
09-Apr-25,10019.1,10076.45,9921.15,10041.25,,
11-Apr-25,10214.8,10282.65,10140.05,10262.55,,
15-Apr-25,10453.4,10453.55,10368.75,10423.5,,
16-Apr-25,10388.15,10577.6,10371.45,10562.05,,
17-Apr-25,10558.65,10716.85,10479.75,10692.2,,
21-Apr-25,10722.65,10968.15,10692.85,10946.35,,
22-Apr-25,10970.9,11011.8,10888.3,10941.5,,
23-Apr-25,10980.25,10992.7,10804.2,10957.15,,
24-Apr-25,10923.45,10976.2,10903.25,10945.45,,
25-Apr-25,10948.35,11016.1,10700.1,10788.65,,
28-Apr-25,10869.1,11157.4,10827.65,11132.1,,
29-Apr-25,11160.4,11259.4,11153.6,11184.5,,
30-Apr-25,11228,11296.4,11048.75,11179.55,,
02-May-25,11196.4,11358.55,11176.25,11261.05,,
05-May-25,11308.35,11473.4,11261.3,11451.95,,
06-May-25,11479.85,11484.2,11215.8,11247.35,,
07-May-25,11116.8,11331.05,11112.3,11265.35,,
08-May-25,11258.15,11338.25,11028.5,11102.85,,
09-May-25,10889,11034.8,10885.2,11016.7,,
12-May-25,11251.4,11370.95,11247.65,11361.65,,
13-May-25,11365.75,11420.4,11237.45,11258.25,,
14-May-25,11300.85,11415.05,11299.45,11396,,
15-May-25,11407.65,11565.5,11334.8,11532.25,,
16-May-25,11530.8,11614.75,11509.8,11595.1,,
19-May-25,11597.5,11634.1,11534.3,11553.35,,
20-May-25,11564.25,11630.15,11450.4,11461.95,,
21-May-25,11473.85,11524.7,11394.55,11513.25,,
22-May-25,11471.75,11493.5,11284.45,11378.7,,
23-May-25,11376.3,11498.6,11360.4,11467.5,,
26-May-25,11501.95,11567.55,11486.6,11527.85,,
27-May-25,11499.15,11534.7,11400.7,11461.55,,
28-May-25,11464.65,11496.15,11411.15,11457.55,,
29-May-25,11468.05,11502.5,11422.3,11475.25,,
30-May-25,11475.95,11515.4,11360.55,11388.4,,
02-Jun-25,11365.35,11381.2,11309.55,11364.95,,
03-Jun-25,11402.95,11435.35,11262.05,11277.05,,
04-Jun-25,11316.2,11371.1,11216.25,11352.75,,
05-Jun-25,11377.6,11478.95,11353.45,11382.25,,
06-Jun-25,11380.7,11455.95,11377.65,11446.9,,
09-Jun-25,11515.45,11575.25,11474.35,11565.95,,
10-Jun-25,11601.25,11617.3,11545.3,11556.2,,
11-Jun-25,11596.65,11799.75,11588.7,11725.5,,
12-Jun-25,11768.25,11778.5,11503.65,11527.3,,
