Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
10-Oct-25,7270.35,7328.55,7269.6,7314.9,107719257,7831.1
13-Oct-25,7297.05,7324,7289.05,7316.85,121667799,9240.23
14-Oct-25,7338.8,7340.95,7250.85,7279.4,156308331,9758.84
15-Oct-25,7304.5,7361.25,7296.35,7352.6,134703826,9544.6
16-Oct-25,7364.55,7434.1,7361.6,7397.6,194108183,12633.83
17-Oct-25,7382.75,7465.3,7378.7,7431.9,200192395,13150.5
20-Oct-25,7489.2,7539.5,7480.4,7523.8,140822752,11828.57
21-Oct-25,7537.8,7550.15,7506.6,7518.05,19205977,1288.63
23-Oct-25,7577.1,7577.5,7479.95,7491.1,210810349,14722.06
24-Oct-25,7500.9,7500.95,7452.55,7478.25,137927962,8543.93
27-Oct-25,7496.8,7561.1,7476.2,7555.05,137646252,9931.53
28-Oct-25,7560.15,7589,7531.6,7568.5,200582857,14551.24
29-Oct-25,7578.15,7611.1,7573.7,7594.05,155598871,9420.49
